manager,manager_brand,market,unit_count,miles_from_city_center,number_stories,property_quality,building_age,total_pop,land_area,pop_density,unemployed_perc,hs_diploma_perc,bachelors_perc,masters_perc,star_rating,aided_recognition,unaided_recognition,rating,area_type_Rural,area_type_Suburban,area_type_Urban,style_Garden,style_Hi-Rise,style_Low-Rise,style_Mid-Rise,style_Townhome,building_class_A,building_class_B,building_class_C
Bell,0,"Atlanta, GA",200.0,16.234851868102762,5.0,0.8340041899270326,4.0,6530.0,5047211.0,0.0012937838342799,0.0540581929555895,0.0607963246554364,0.3019908116385911,0.0880551301684532,4.0,0.0756914119359534,,3.7,0,0,0,0,0,0,1,0,1,0,0
Camden,1,"Atlanta, GA",296.0,0.8380123176526658,6.0,0.7643376214625353,24.0,2775.0,260637.0,0.0106469917931836,0.0061261261261261,0.0273873873873873,0.3614414414414414,0.1311711711711711,4.0,0.3391557496360989,0.0509461426491994,4.2,0,0,1,0,0,0,1,0,0,1,0
Camden,1,"Atlanta, GA",304.0,17.455091790634913,4.0,0.6960559085025101,23.0,4467.0,6259747.0,0.0007136071154313,0.0149988806805462,0.1148421759570181,0.1067830758898589,0.0266398029997761,3.0,0.3391557496360989,0.0509461426491994,4.5,0,1,0,1,0,0,0,0,0,1,0
Camden,1,"Atlanta, GA",359.0,1.6449157003305102,7.0,0.7787702253314207,23.0,3382.0,722375.0,0.004681778854473,0.02602010644589,0.0319337670017741,0.3976936723832052,0.2060910703725606,4.0,0.3391557496360989,0.0509461426491994,4.4,0,0,1,0,0,0,1,0,0,1,0
Camden,1,"Atlanta, GA",292.0,13.660842519044962,3.0,0.770386319354979,25.0,4149.0,2391416.0,0.0017349553569935,0.0159074475777295,0.0074716799228729,0.1838997348758737,0.1990841166546155,3.0,0.3391557496360989,0.0509461426491994,4.5,0,1,0,1,0,0,0,0,0,1,0
Camden,1,"Atlanta, GA",399.0,29.05044902944517,4.0,0.7476065477457915,24.0,5839.0,14063863.0,0.0004151775369256,0.0116458297653707,0.0967631443740366,0.2205857167323171,0.0967631443740366,3.0,0.3391557496360989,0.0509461426491994,4.1,0,0,0,0,0,0,1,0,0,1,0
Camden,1,"Atlanta, GA",336.0,3.707010159717187,4.0,0.8173399405180523,28.0,1626.0,1210620.0,0.0013431134460028,0.0067650676506765,0.072570725707257,0.2546125461254612,0.1783517835178351,3.0,0.3391557496360989,0.0509461426491994,4.1,0,0,1,1,0,0,0,0,0,1,0
Camden,1,"Atlanta, GA",234.0,1.2689194008760534,4.0,0.7799371922838276,29.0,3547.0,672395.0,0.00527517307535,0.0947279391034677,0.0425711869185226,0.3701719763180152,0.2509162672681139,2.0,0.3391557496360989,0.0509461426491994,4.4,0,0,1,0,0,0,1,0,0,0,1
Camden,1,"Atlanta, GA",324.0,2.5981747438585208,3.0,0.7615137099450299,28.0,4127.0,2219183.0,0.0018596934096917,0.0283498909619578,0.0663920523382602,0.269929731039496,0.1279379694693481,3.0,0.3391557496360989,0.0509461426491994,4.4,0,0,0,1,0,0,0,0,0,1,0
Camden,1,"Atlanta, GA",232.0,16.157551703467117,3.0,0.7480886813153039,26.0,2806.0,1176831.0,0.0023843695483888,0.0053456878118317,0.1133285816108339,0.154312188168211,0.0274411974340698,3.0,0.3391557496360989,0.0509461426491994,4.3,0,1,0,1,0,0,0,0,0,1,0
Camden,1,"Atlanta, GA",223.0,2.4309405400265884,3.0,0.7664527998973538,23.0,3741.0,2503689.0,0.0014941951656136,0.0219192729216786,0.0598770382250735,0.3114140604116546,0.1601176156107992,3.0,0.3391557496360989,0.0509461426491994,4.4,0,1,0,1,0,0,0,0,0,1,0
Camden,1,"Atlanta, GA",250.0,0.4918885748655104,6.0,0.7860727738686968,10.0,2491.0,504024.0,0.0049422249734139,0.0268968285828984,0.0180650341228422,0.4287434765154556,0.1633881975110397,4.0,0.3391557496360989,0.0509461426491994,4.5,0,0,0,0,0,0,1,0,1,0,0
Camden,1,"Atlanta, GA",276.0,1.583772271031788,6.0,0.7372581727490821,12.0,3507.0,674820.0,0.0051969414065973,0.0028514399771884,0.0208155118334759,0.4029084687767322,0.2110065583119475,4.0,0.3391557496360989,0.0509461426491994,4.2,0,0,1,0,0,0,1,0,1,0,0
Camden,1,"Atlanta, GA",379.0,0.3669236875782553,4.0,0.7572331970575339,11.0,2271.0,1528087.0,0.0014861719260748,0.0246587406428885,0.1122853368560105,0.3139586085424923,0.0629678555702333,4.0,0.3391557496360989,0.0509461426491994,4.5,0,1,0,0,0,0,1,0,1,0,0
