,market,rank,total_units,total_properties,lat,lon,submarket
81,"Bay City, MI",1,511.0,3,43.59,-83.85,Midland/Flint
82,"Bay City, MI",2,228.0,1,43.62,-83.8,Midland/Flint
83,"Bay City, MI",3,180.0,1,43.63,-83.92,Midland/Flint
84,"Beaumont, TX",1,1226.0,6,30.12,-94.19,North Outer Jefferson
85,"Beaumont, TX",2,894.0,5,29.95,-93.97,Port Arthur/Groves
86,"Beaumont, TX",3,792.0,4,30.08,-94.17,South CANA
87,"Beckley, WV",1,192.0,1,37.8,-81.21,West Virginia South Area
88,"Beckley, WV",2,184.0,2,37.78,-81.17,West Virginia South Area
89,"Beckley, WV",3,175.0,1,37.83,-81.21,West Virginia South Area
90,"Bellingham, WA",1,640.0,8,48.73,-122.47,Samish Hill
91,"Bellingham, WA",2,610.0,9,48.73,-122.48,Happy Valley
92,"Bellingham, WA",3,593.0,9,48.75,-122.48,Downtown Bellingham
93,"Bend, OR",1,577.0,3,44.06,-121.28,Mountain View
94,"Bend, OR",2,426.0,2,44.04,-121.33,Century West
95,"Bend, OR",3,358.0,3,44.06,-121.27,Mountain View
96,"Billings, MT",1,1141.0,6,45.76,-108.63,Billings
97,"Billings, MT",2,499.0,3,45.75,-108.63,Billings
98,"Billings, MT",3,382.0,2,45.79,-108.6,Billings
99,"Binghamton, NY",1,463.0,3,42.1,-75.91,Center City
100,"Binghamton, NY",2,432.0,4,42.09,-76.0,Outer Broome County
101,"Binghamton, NY",3,414.0,1,42.13,-75.93,Ely Park
102,"Birmingham, AL",1,2839.0,7,33.38,-86.79,Hoover/Vestavia Hills
103,"Birmingham, AL",2,1327.0,9,33.51,-86.81,Parkside
104,"Birmingham, AL",3,1260.0,3,33.43,-86.7,Shelby County
105,"Bismarck, ND",1,537.0,5,46.83,-100.81,Downtown Bismarck
106,"Bismarck, ND",2,470.0,4,46.81,-100.84,Prairie West
107,"Bismarck, ND",3,364.0,3,46.85,-100.74,North Bismarck
108,"Blacksburg, VA",1,768.0,1,37.22,-80.45,Hethwood-Prices Fork
109,"Blacksburg, VA",2,575.0,3,37.24,-80.43,McBryde
110,"Blacksburg, VA",3,388.0,1,37.19,-80.42,Blacksburg & Wytheville
111,"Bloomington, IL",1,711.0,1,40.45,-88.94,Bloomington/Normal
112,"Bloomington, IL",2,564.0,1,40.49,-88.91,Bloomington/Normal
113,"Bloomington, IL",3,509.0,2,40.54,-88.98,Bloomington/Normal
